ticker,price,change_pct,rsi,macd,ema50,ema200,status,recommendation
DIGI.RO,46.10,4.77,60.5,-0.52,43.80,41.20,BULLISH,BUY
PE.RO,55.00,-0.72,67.7,3.74,52.30,48.90,BULLISH,STRONG_BUY
SNN.RO,70.00,0.72,29.5,0.07,72.50,68.30,OVERSOLD,BUY
EL.RO,32.80,6.84,76.3,0.55,30.20,28.50,OVERBOUGHT,AVOID
SNG.RO,14.90,0.00,79.6,0.23,13.80,12.90,OVERBOUGHT,AVOID
TEL.RO,89.50,0.00,9.4,-1.03,92.30,88.70,BEARISH,AVOID
TLV.RO,0.4850,0.00,45.2,0.02,0.4720,0.4580,NEUTRAL,HOLD
BRD.RO,14.20,0.00,52.3,0.15,13.90,13.50,NEUTRAL,HOLD
TGN.RO,4.85,0.00,48.7,-0.08,4.92,4.78,NEUTRAL,HOLD
SNP.RO,0.6900,0.00,51.2,0.03,0.6850,0.6720,NEUTRAL,HOLD
COTE.RO,9.80,0.00,49.8,-0.05,9.95,9.72,NEUTRAL,HOLD
M.RO,1.45,0.00,46.5,-0.02,1.48,1.43,NEUTRAL,HOLD
AQ.RO,1.12,0.00,50.1,0.01,1.11,1.09,NEUTRAL,HOLD
WINE.RO,12.50,0.00,47.3,-0.03,12.68,12.35,NEUTRAL,HOLD
AROBS.RO,0.85,0.00,42.8,-0.06,0.88,0.86,WEAK,HOLD
ONE.RO,18.20,0.00,44.1,-0.04,18.65,18.12,WEAK,HOLD
FP.RO,2.35,0.00,48.2,-0.01,2.38,2.32,NEUTRAL,HOLD
