ticker,shares,avg_price,purchase_date,notes
AQ,1,1.00,2026-05-27,1.36% allocation
AROBS,1,1.00,2026-05-27,0.55% allocation
BRD,1,1.00,2026-05-27,1.43% allocation
DIGI,1,1.00,2026-05-27,7.46% allocation
EL,1,1.00,2026-05-27,1.51% allocation
H2O,1,1.00,2026-05-27,2.45% allocation
M,1,1.00,2026-05-27,1.05% allocation
R2802A,1,1.00,2026-05-27,7.88% allocation
R3508AE,1,1.00,2026-05-27,3.49% allocation
R3509AE,1,1.00,2026-05-27,29.77% allocation
R3511AE,1,1.00,2026-05-27,3.37% allocation
SFG,1,1.00,2026-05-27,0.90% allocation
SNG,1,1.00,2026-05-27,5.83% allocation
SNN,1,1.00,2026-05-27,0.27% allocation
SNP,1,1.00,2026-05-27,2.85% allocation
TEL,1,1.00,2026-05-27,1.40% allocation
TLV,1,1.00,2026-05-27,27.90% allocation
TTS,1,1.00,2026-05-27,0.50% allocation
